text,token,emoji,sentiment
"If I smelled the scent of hand sanitizers today on someone in the past, I would think they were so intoxicated that… https://t.co/QZvYbrOgb0","if i smelled the scent of hand sanitizers today on someone in the past, i would think they were so intoxicated that… ",FALSE,Positive
Hey @Yankees @YankeesPR and @MLB - wouldn't it have made more sense to have the players pay their respects to the A… https://t.co/1QvW0zgyPu,hey @yankees @yankeespr and @mlb - wouldn't it have made more sense to have the players pay their respects to the a… ,FALSE,Negative
@diane3443 @wdunlap @realDonaldTrump Trump never once claimed #COVID19 was a hoax. We all claim that this effort to… https://t.co/Jkk8vHWHb3,@diane3443 @wdunlap @realdonaldtrump trump never once claimed #covid19 was a hoax. we all claim that this effort to… ,FALSE,Negative
@brookbanktv The one gift #COVID19 has give me is an appreciation for the simple things that were always around me… https://t.co/Z0pOAlFXcW,@brookbanktv the one gift #covid19 has give me is an appreciation for the simple things that were always around me… ,FALSE,Positive
"25 July : Media Bulletin on Novel #CoronaVirusUpdates #COVID19 
@kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI… https://t.co/MN0EEcsJHh",25 july : media bulletin on novel #coronavirusupdates #covid19  @kansalrohit69 @drsyedsehrish @airnewsalerts @ani… ,FALSE,Positive
#coronavirus #covid19 deaths continue to rise. It's almost  as bad as it ever was.  Politicians and businesses want… https://t.co/hXMHooXX2C,#coronavirus #covid19 deaths continue to rise. it's almost  as bad as it ever was.  politicians and businesses want… ,FALSE,Negative
"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting… https://t.co/bjZxzGPMbK","how #covid19 will change work in general (and recruiting, specifically) via/ @proactivetalent #recruiting… ",FALSE,Neutral
You now have to wear face coverings when out shopping - this includes a visit to your local Community Pharmacy… https://t.co/OSu5Q4kdd7,you now have to wear face coverings when out shopping - this includes a visit to your local community pharmacy… ,FALSE,Neutral
"Praying for good health and recovery of @ChouhanShivraj .
#covid19
#covidPositive",praying for good health and recovery of @chouhanshivraj . #covid19 #covidpositive,FALSE,Positive
"POPE AS GOD - Prophet Sadhu Sundar Selvaraj. Watch here at https://t.co/7X5RTyKVji 

#HurricaneHanna #COVID19… https://t.co/06dZcGUnwL",pope as god - prophet sadhu sundar selvaraj. watch here at    #hurricanehanna #covid19… ,FALSE,Positive
"49K+ Covid19 cases still no response from 
@cbseindia29 @HRDMinistry @DrRPNishank.Please cancel the compartment exa… https://t.co/kV2ZKmumu1",49k+ covid19 cases still no response from  @cbseindia29 @hrdministry @drrpnishank.please cancel the compartment exa… ,FALSE,Negative
"Order here: https://t.co/4NUrGX6EmA

#logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #Abstract… https://t.co/0yPMoGqi9s",order here:   #logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #abstract… ,FALSE,Neutral
👋🏻@PattyHajdu @NavdeepSBains — no one will be safe from #COVID19 until everyone is safe. Will you commit to ensure… https://t.co/aWCJo6eKvC,👋🏻@pattyhajdu @navdeepsbains — no one will be safe from #covid19 until everyone is safe. will you commit to ensure… ,TRUE,Negative
"Let's all protect ourselves from #COVID19.
It's real and the numbers are climbing up fast in the Continent.
Let's n… https://t.co/byMSfxltrw",let's all protect ourselves from #covid19. it's real and the numbers are climbing up fast in the continent. let's n… ,FALSE,Positive
Rajasthan Government today started a Plasma Bank at Sawai Man Singh Hospital in Jaipur for treatment of COVID-19 pa… https://t.co/cwfCcWyaDA,rajasthan government today started a plasma bank at sawai man singh hospital in jaipur for treatment of covid-19 pa… ,FALSE,Neutral
"Nagaland police on Covid-19 Awareness at City Tower Junction Dimapur.

#Covid19 #keepsocialdistance… https://t.co/WOvFMqhuEO",nagaland police on covid-19 awareness at city tower junction dimapur.  #covid19 #keepsocialdistance… ,FALSE,Neutral
"July 25 #COVID19 update
#TamilNadu - 6988
Discharge- 7758
People tested - 61729
Actice cases - 52273
#chennai - 1329",july 25 #covid19 update #tamilnadu - 6988 discharge- 7758 people tested - 61729 actice cases - 52273 #chennai - 1329,FALSE,Neutral
Second wave of #COVID19 in Flanders..back to more #homework again... https://t.co/9swImZACMN,second wave of #covid19 in flanders..back to more #homework again... ,FALSE,Neutral
"It is during our darkest moments that we must focus to see the #light.~Aristotle 
https://t.co/YLlS4Kj85c… https://t.co/tFJB7l1Kaw",it is during our darkest moments that we must focus to see the #light.~aristotle   ,FALSE,Negative
COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK,covid update: the infection rate in florida is following the natural curve that experts predicted if the initial cu… ,FALSE,Positive
"@EvanAKilgore @realDonaldTrump Good Patriots!
Call to Volunteer to be an Election Judge. 
Polls cannot open without… https://t.co/qA3mA4zedZ",@evanakilgore @realdonaldtrump good patriots! call to volunteer to be an election judge.  polls cannot open without… ,FALSE,Positive
Coronavirus - South Africa: COVID-19 update for South Africa (24 July 2020) @nicd_sa @MoetiTshidi @WHOAFRO… https://t.co/WQzAdkpXC5,coronavirus - south africa: covid-19 update for south africa (24 july 2020) @nicd_sa @moetitshidi @whoafro… ,FALSE,Neutral
"@JimBnntt Your image doesn't list a source, but I'd be careful with overall ""risk of dying"" statistics related to… https://t.co/GRjVq8vYMy","@jimbnntt your image doesn't list a source, but i'd be careful with overall ""risk of dying"" statistics related to… ",FALSE,Negative
"The first comprehensive review of #WASH &amp; #COVID19.

Analysis: key ways in which WASH can help reduce transmission… https://t.co/eCsfDmo9b4",the first comprehensive review of #wash &amp; #covid19.  analysis: key ways in which wash can help reduce transmission… ,FALSE,Positive
Holy water in times of #COVID19 https://t.co/YaZ49yxL27,holy water in times of #covid19 ,FALSE,Neutral
"#Kolar
Need #Blood Type :  B-positive
At : Jalappa Hospital
Blood Component : Need Plasma from B+ve #COVID19 recove… https://t.co/XtgxULc02Z",#kolar need #blood type :  b-positive at : jalappa hospital blood component : need plasma from b+ve #covid19 recove… ,FALSE,Neutral
"Our Munitions Response Team in #BosniaandHerzegovina modified ops and adopted masks, disinfectants, and sanitizers… https://t.co/lMbKXlw1wQ","our munitions response team in #bosniaandherzegovina modified ops and adopted masks, disinfectants, and sanitizers… ",FALSE,Neutral
I can imagine the same people profiting off the human suffering of #COVID19 will be studying these maps to make 207… https://t.co/NElsmGju2H,i can imagine the same people profiting off the human suffering of #covid19 will be studying these maps to make 207… ,FALSE,Negative
"#TNCoronaUpdate

#TN crosses 2 lakh mark and 1,50,055 ppp has recovered so far.

#COVID19 positive today 6988/total… https://t.co/QdJkpcc7qv","#tncoronaupdate  #tn crosses 2 lakh mark and 1,50,055 ppp has recovered so far.  #covid19 positive today 6988/total… ",FALSE,Positive
"@ratasjuri TAX Reform

Tax-free minimum:
For a company of five hundred thousand euros per year.

Tax-free minimum:… https://t.co/gD0Q6ujjbl",@ratasjuri tax reform  tax-free minimum: for a company of five hundred thousand euros per year.  tax-free minimum:… ,FALSE,Neutral
#FEMA acknowledges #PuertoRico lacks rebuilt homes and a hospital to survive #COVID19  https://t.co/PLXqKc5K5d,#fema acknowledges #puertorico lacks rebuilt homes and a hospital to survive #covid19  ,FALSE,Neutral
"Actor @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..

While #Vishal 's… https://t.co/V5Lo8NRLWY",actor @vishalkofficial and his father mr.g.k.reddy tested positive for #covid19 15/20 days back..  while #vishal 's… ,FALSE,Positive
"An update on the total #covid19 cases, recoveries, and deaths reported in countries in #Africa.  See the total numb… https://t.co/eqCJ3EhwRi","an update on the total #covid19 cases, recoveries, and deaths reported in countries in #africa.  see the total numb… ",FALSE,Neutral
@unionwill @megawedgy @jjhorgan “Regarding the community outbreak of #COVID19 on Haida Gwaii: 13 cases (one recover… https://t.co/rJzuY60qY7,@unionwill @megawedgy @jjhorgan “regarding the community outbreak of #covid19 on haida gwaii: 13 cases (one recover… ,FALSE,Neutral
"A safe place to visit? Here is what our guests said, ""The hotel were meticulous in applying hand sanitation and als… https://t.co/PVCji8s1Eg","a safe place to visit? here is what our guests said, ""the hotel were meticulous in applying hand sanitation and als… ",FALSE,Positive
